type,text_id,rater_id,CEFR,TR,CC,LR,GRA,TR_fair,CC_fair,LR_fair,GRA_fair,overall,overall_fair,text_len,MLC,CNC,vocD,AG,bigram_range,mean_MI,mean_tscore,absent_prop,col_errors_per_100,correct_cols_per_100,K1to2_p,K3to9_p,K10to16_p
base,Text1,R1,B1,4.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,3.5,4.0,250,6.436,0.667,48.559,0.379,0.094,2.526,106.16,0.987,7.199999999999999,4.8,0.75,0.25,0.0
base,Text1,R19,B1,5.0,5.0,6.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,250,6.436,0.667,48.559,0.379,0.094,2.526,106.16,0.987,7.199999999999999,4.8,0.75,0.25,0.0
base,Text1,R11,B1,5.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,4.5,4.0,250,6.436,0.667,48.559,0.379,0.094,2.526,106.16,0.987,7.199999999999999,4.8,0.75,0.25,0.0
base,Text1,R40,B1,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,250,6.436,0.667,48.559,0.379,0.094,2.526,106.16,0.987,7.199999999999999,4.8,0.75,0.25,0.0
orig,IELTS_B1,IELTS,B1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,172,6.615,0.615,47.87,0.381,0.088,2.429,115.839,0.979,8.14,4.651,0.75,0.25,0.0
norm,Text31,R34,B1,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,4.5,4.5,250,6.41,0.641,48.723,0.379,0.095,2.522,111.672,0.985,8.0,4.8,0.75,0.25,0.0
norm,Text31,R30,B1,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.5,250,6.41,0.641,48.723,0.379,0.095,2.522,111.672,0.985,8.0,4.8,0.75,0.25,0.0
norm,Text31,R31,B1,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,4.5,4.5,250,6.41,0.641,48.723,0.379,0.095,2.522,111.672,0.985,8.0,4.8,0.75,0.25,0.0
norm,Text31,R8,B1,6.0,6.0,6.0,5.0,5.0,4.0,5.0,4.0,5.5,4.5,250,6.41,0.641,48.723,0.379,0.095,2.522,111.672,0.985,8.0,4.8,0.75,0.25,0.0
base,Text11,R5,B2,7.0,6.0,6.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,250,7.371,0.829,44.72,0.936,0.169,2.868,157.984,0.963,4.8,8.799999999999999,0.727,0.273,0.0
base,Text11,R40,B2,5.0,6.0,7.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,250,7.371,0.829,44.72,0.936,0.169,2.868,157.984,0.963,4.8,8.799999999999999,0.727,0.273,0.0
base,Text11,R28,B2,7.0,7.0,7.0,7.0,6.0,6.0,7.0,6.0,7.0,6.0,250,7.371,0.829,44.72,0.936,0.169,2.868,157.984,0.963,4.8,8.799999999999999,0.727,0.273,0.0
base,Text11,R24,B2,7.0,7.0,7.0,6.0,6.0,6.0,7.0,6.0,6.5,6.0,250,7.371,0.829,44.72,0.936,0.169,2.868,157.984,0.963,4.8,8.799999999999999,0.727,0.273,0.0
norm,Text32,R12,B2,6.0,6.0,6.0,5.0,6.0,6.0,7.0,6.0,5.5,6.0,250,7.314,0.8,43.457,0.938,0.171,2.878,153.301,0.964,3.2,8.8,0.727,0.273,0.0
norm,Text32,R9,B2,6.0,6.0,5.0,5.0,6.0,6.0,7.0,6.0,5.5,6.0,250,7.314,0.8,43.457,0.938,0.171,2.878,153.301,0.964,3.2,8.8,0.727,0.273,0.0
norm,Text32,R38,B2,8.0,7.0,7.0,6.0,6.0,6.0,7.0,6.0,7.0,6.0,250,7.314,0.8,43.457,0.938,0.171,2.878,153.301,0.964,3.2,8.8,0.727,0.273,0.0
norm,Text32,R20,B2,6.0,6.0,7.0,6.0,6.0,6.0,7.0,6.0,6.0,6.0,250,7.314,0.8,43.457,0.938,0.171,2.878,153.301,0.964,3.2,8.8,0.727,0.273,0.0
orig,IELTS_B2,IELTS,B2,7.0,6.0,7.0,6.0,7.0,6.0,7.0,6.0,6.5,6.5,349,7.286,0.857,46.781,0.9,0.164,2.94,162.093,0.965,3.152,8.883,0.742,0.258,0.0
base,Text21,R17,C1,7.0,7.0,8.0,7.0,8.0,8.0,8.0,8.0,7.0,8.0,250,11.591,2.045,70.302,1.455,0.117,3.233,93.148,0.928,2.4,12.8,0.562,0.344,0.094
base,Text21,R30,C1,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,250,11.591,2.045,70.302,1.455,0.117,3.233,93.148,0.928,2.4,12.8,0.562,0.344,0.094
base,Text21,R7,C1,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,250,11.591,2.045,70.302,1.455,0.117,3.233,93.148,0.928,2.4,12.8,0.562,0.344,0.094
base,Text21,R23,C1,6.0,9.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,250,11.591,2.045,70.302,1.455,0.117,3.233,93.148,0.928,2.4,12.8,0.562,0.344,0.094
norm,Text33,R47,C1,7.0,6.0,7.0,7.0,8.0,7.0,8.0,7.0,6.5,7.5,250,11.591,2.045,70.776,1.455,0.117,3.229,92.031,0.927,2.0,13.2,0.545,0.364,0.091
norm,Text33,R3,C1,8.0,8.0,8.0,8.0,8.0,7.0,8.0,7.0,8.0,7.5,250,11.591,2.045,70.776,1.455,0.117,3.229,92.031,0.927,2.0,13.2,0.545,0.364,0.091
norm,Text33,R28,C1,9.0,8.0,8.0,8.0,8.0,7.0,8.0,7.0,8.0,7.5,250,11.591,2.045,70.776,1.455,0.117,3.229,92.031,0.927,2.0,13.2,0.545,0.364,0.091
norm,Text33,R20,C1,7.0,7.0,7.0,7.0,8.0,7.0,8.0,7.0,7.0,7.5,250,11.591,2.045,70.776,1.455,0.117,3.229,92.031,0.927,2.0,13.2,0.545,0.364,0.091
orig,IELTS_C1,IELTS,C1,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,254,11.773,2.045,70.996,1.443,0.122,3.26,93.617,0.926,1.969,12.992,0.545,0.364,0.091
