Duration (in seconds),Analytic 1_1,Analytic 1_2,Analytic 1_3,Analytic 1_4,Holistic 1_1,Rationale 1,Analytic 2_1,Analytic 2_2,Analytic 2_3,Analytic 2_4,Holistic 2_1,Rationale 2,Analytic 3_1,Analytic 3_2,Analytic 3_3,Analytic 3_4,Holistic 3_1,Rationale 3,Gender,Age,Education,Education_6_TEXT,TESOL cert,TESOL cert_6_TEXT,ELT experience,IELTS status,IELTS status_8_TEXT,IELTS experience,L1,Student L1,Examining contexts,FL_148_DO,B1texts_DO,B2texts_DO,C1texts_DO
955,6-,5-,6,4+,5.8,"The candidate used some higher-level lexis somewhat effectively, but since it was not that fluent of usage, she could not be awarded very high marks. Nonetheless, lexis was the candidate's strongest area.",6+,6,6+,5+,6.1,"Strong use of verb phrases and knowledge of collocations. Some ability to use less common phrases, albeit with some inaccuracy.",6+,8,8,8,7.8,Fluent and accurate use of higher-level lexis helped the candidate achieve a high mark on lexis. ,Male,40-49,Master's degree,,Other,MA TESOL,11-20,"Former IELTS writing examiner,Current IELTS speaking examiner",,3-5,English,Arabic,Test takers with mostly the same L1 and a narrow range of proficiency levels,FL_144|FL_147|FL_146,Text10,Text32,Text28
1131,4,4-,5,5,5,"I noticed regurgitated phrases that were sometimes used correctly, but often not exact.  Because they are phrases, they are evidence of correct collocation, which would probably enhance a score given by a machine, at least at the level such programs work now.",7,7,6+,6-,6,"I noticed that the vocabulary used was adequate to the task, and at times was particularly appropriate.  However, there was a lack of collocation and overall not much variety.",7,7,7+,6,6.5,"I noticed good collocation across whole sentences.  In every case, the phrase or group of words represented one idea that was coherent with the argument being put forth.",Female,60-69,Master's degree,,Other,University of Pittsburgh,20+,Former IELTS writing examiner,,3-5,English,Japanese/Arabic/Spanish,Test takers with mostly the same L1 and a narrow range of proficiency levels,FL_144|FL_147|FL_146,Text8,Text19,Text26
2411,5,5+,6-,5,5.5,"'- Uses an adequate range of vocabulary for the task: must be grown up, working to have money, start work
• attempts to use less common vocabulary but with some inaccuracy: fantasize,  resilient, tabloids, juveniles
• makes some errors in spelling and/or word formation, but they do not impede communication: procuring things, our country parents",7,7,7,7,7,"'- uses a sufficient range of vocabulary to allow some flexibility and precision; put food on the table, been spoiled, express love
- uses less common lexical items with some awareness of style and collocation: equipped to face adulthood, the art of making money, the value of hard work
- may produce occasional errors in word choice, spelling and/or word formation: raised (taught) in certain ethical values, time to discovered (discover), the impact to (on) a child",8,8-,8+,8,8.1,"'- Uses a wide range of vocabulary fluently and flexibly to convey precise meanings - Collocations: humble parents, prematurely exposed, taught fundamental skills, occasionally supplement, a concrete example / Other Multi-word units: the realities of life, from an early age
- skilfully uses uncommon lexical items but there may be occasional inaccuracies in word choice and collocation: in the weekends, collect some pocket money, make a straight contribution
• produces rare errors in spelling and/or word formation: eg. e.g.",Male,50-59,Doctorate degree,,"Cambridge CELTA,Cambridge Delta",,20+,"Former IELTS writing examiner,Current IELTS speaking examiner,IELTS Examiner Trainer",,11-20,English,Arabic,Test takers with a variety of L1s and a range of proficiency levels,FL_147|FL_144|FL_146,Text10,Text12,Text23
26892,5-,5,5,5-,5,"There is a limited range of vocabulary.  In paragraph 1, there are instances of lexical usage that are minimally adequate for the task ('I disagree', which should be 'I disagree with' / I show).  One key is that some parts are markedly different than others due to the writer's recycling of words from the prompt.  Outside of the reuse of vocabulary from the prompt, the writer's lexical resource is simple and repetitive without range or depth ('money' is used seven times) and, in other places, word choice is strange.  

",7,6,6,6+,6.3,"Words like 'endorsed' are used with some awareness of style but out of context.  'Oppose' has a word form issue, but it doesn't impede communication.   The phrases 'in a certain ethical values' and 'spoiled in every time'  demonstrate both adequate vocabulary and a degree of inaccuracy.  The listing in the 'such as' fragment also seems like they are trying to include a range of vocabulary to earn a higher score without explaining why they attributed these words to the situation.

",7+,7+,7+,7,7.4,"There are some inaccuracies in collocation.  The writer uses 'early exposure' in the final paragraph, which I would guess refers to the clause with 'exposed' in an earlier paragraph; however, the collocation is left with a clear link, as 'early exposure' could also refer to such situations as photography.  

Many precise meanings are conveyed here.  'Turn to' indicates a proper casual relationship.  The word 'realities' is in single quotes for some reason, yet the word itself is used properly.  The word 'impoverished (though Bill Gates' family in truth had money) is used well within the context of the writing.  The words/phrases 'encounter' and 'direct contribution' (though the latter is slightly out of context here) are used in a fluent and uncommon way.  

Most word formation errors come from issues with possessives (ex: worlds -- > world's & parent's / parents'); both errors change the meaning of the phrase of sentence unless the reader can sense what the writer means.  

",Male,40-49,Master's degree,,Other,MA in TESOL with IELTS training and formal training in technical writing,20+,Former IELTS writing examiner,,11-20,English,"Now - Arabic.  Formerly, Mandarin, Japanese, Korean, and Spanish - at different points in my career.",Test takers with a variety of L1s and a range of proficiency levels,FL_146|FL_144|FL_147,Text5,Text14,Text22
2920,4,5-,5,4,4.5,"did not reach level 6 (adequate range of vocabulary for the task, attempts to use less common vocabulary but with some
inaccuracy, makes some errors in spelling and/or word formation, but they do not impede communication) because meaning was unclear in several places. More than ""some"" inaccuracy although they took risks (fantasize, procuring)",6,5,6,5,5.5,"attempts to use less common vocabulary but with some inaccuracy: commend the idea, psychological values, path to fulfillment...",8-,8-,8,8,7.8,"uses a wide range of vocabulary fluently and flexibly to convey precise meanings: augment, quintessential, impoverished, victimized
collocation: highly motivated, turn to crime
idioms: peddle merchandise, pocket money",Female,40-49,Master's degree,,Other,ESL Specialist Cert,6-10,"Former IELTS writing examiner,Current IELTS speaking examiner",,6-10,English,"Arabic, Chinese; IELTS=Indian languages",Test takers with mostly the same L1 but a range of proficiency levels,FL_146|FL_147|FL_144,Text9,Text17,Text27
5134,4-,5-,6-,4+,4.1,"The candidate attempts to use some less frequent items and collocations (eg. desired effect, fairly young, pocket money, work independantly), and even some idiomatic language (on the flip side), but the lack of control of sentence structure affects coherence and understanding. I believe his use of lexical items is what enables this text to pass some ideas, although not coherent enough for what the task demands. ",6,5,6+,5+,5.7,"This candidate showed some less frequent items (eg. endure, possess, attain) and some awareness of collocations (eg. hard work, face adulthood, blinded by the power of money, embrace reality) but the level of formality was variable with some inappropriacies  like in ""perceived their parents worked"", ""endure in the condition"". The global effect is a lack of comand of complex language. 
 ",7-,7,8+,7-,7.5,"The use of noun phrases (eg. low family income, an impoverished background, family role models), collocations (eg. highly motivated, sheer motivation, prematurely exposed, set hight goals) and sophisticated, less common, vocabulary (eg. accompany, encounter, impoverished, exposure). ",Female,50-59,Master's degree,,Cambridge CELTA,,20+,"Former IELTS writing examiner,Current IELTS speaking examiner",,20+,Portuguese,Portuguese,Test takers with mostly the same L1 and a narrow range of proficiency levels,FL_147|FL_146|FL_144,Text4,Text16,Text21
1235,7,6,6,5,6,errors in spelling and word formation do not generally impede communication.,7,6+,6+,6+,6.8,attempts to use less common vocabulary but sometimes inaccurately.,7+,7+,7+,7+,7.9,"there is some flexibility and precision.
uses less common lexical items with some awareness of style and collocation",Male,50-59,Master's degree,,Other,MA TESOL,20+,"Former IELTS writing examiner,Former IELTS speaking examiner",,3-5,English,Arabic--when I was an IELTS examiner,Test takers with mostly the same L1 but a range of proficiency levels,FL_146|FL_144|FL_147,Text6,Text13,Text29
1261,5+,5,6,5+,5.4,"There was some good vocab such as entrance.  There was some good vocabulary throughout the writing but other skills let the candidate down.
I think it would be easy for an examiner to give a higher grade based on vocabulary rather than the rest of the writing.",7,6,8,7,7,There was a lot of great vocabulary.  Knack was a word that stood out.  The level of vocab and collocation was very good with some idioms and phrasal verbs.  There were some native speaker terms.,7,7,8+,8,8,"The vocab is excellent however its difficult to agree with someone who is talking bollox :)
The vocabulary that Bill Gates came from an impoverished background is great English but completely untrue, he went to one of the few ones that had computers at the time.....I digress.  
This answer is a good example of a candidate who had good vocabulary and grammar but was not able to answer the question or organise their answer. A candidate like this could be easily taught to produce a better answer.  ",Male,50-59,Master's degree,,"Cambridge CELTA,Trinity DipTESOL",,20+,"Former IELTS writing examiner,Current IELTS speaking examiner",,11-20,English,Arabic,Test takers with a variety of L1s and a range of proficiency levels,FL_146|FL_144|FL_147,Text1,Text17,Text25
2624,5,4-,5,5-,4.8,"So ... here we see a variety of words used but not effectively and in some cases not correctly. Sometimes, it appears that words are parachuted in just for effect as they are clearly not used appropriately. This person likely thinks they are really 'good' at English ... but in reality they are not. Perhaps, a fossilized older person writing this piece.",6,6+,7,6+,6.5,I noticed a good variety of vocabulary used accurately and effectively ... and some use of idiomatic phrases and collocations.,7-,7,7+,7,7,"As with the first script, there was quite a wide use of vocabulary effectively employed to convey precise meaning. Here the vocabulary was of a slightly higher standard than in the first script.",Male,50-59,Master's degree,,SIT TESOL Certificate,,20+,"Former IELTS writing examiner,Current IELTS speaking examiner",,11-20,English,Arabic,Test takers with mostly the same L1 and a narrow range of proficiency levels,FL_146|FL_147|FL_144,Text10,Text32,Text33
1860,5-,4-,4+,4,4.3,"The basic nature of the vocabulary choice. 
The lack of control over the vocab, which causes confusion, e.g.  my age is late to work by childrens ages.
The lack of coherence in the text as a whole (through grammatical, discoursal, punctuation) probably impacted and amplified the feeling that there was a lack of control over the vocab.",6-,6-,7+,6+,6.5,"There were some good collocations/chunks of language, e.g. dazzled by the allure of; the path to fulfilment is..., unimaginable wealth

My first thought was that you had put them into this student text as part of your research project as they seem at a level above the rest of the candidate's English, including the choice and control of other lexical items, e.g. As oppose to that",8+,8+,9,9-,9,"Here, unlike the first text, almost every chunk was appropriate, natural and had appropriate colligations e.g.  prematurely exposed to; problems of adult life; low family income, sacrificing luxuries for; essential items.

",Male,40-49,Master's degree,,"Cambridge CELTA,Cambridge Delta",,20+,"Former IELTS writing examiner,Former IELTS speaking examiner",,3-5,English,"A variety: Polish, Spanish, Hindi",Test takers with a variety of L1s and a range of proficiency levels,FL_146|FL_147|FL_144,Text3,Text18,Text24
2182,4-,4-,6-,4-,4.7,"Adequate range for the task but there was a lot of repetition. 
However, they did not misspell the items to the extent that it causes strain. 
I can't say the range is minimal for the task, but it doesn't go beyond that of adequate, which constitutes a 6 band. ",4+,4,6,5-,4.8,"There weren't huge issues with the word formations and it didn't cause strain on the reader. There was some repetition though the use of the lexical items were generally appropriate. 
As there were no major errors, it did not stand to receive a 5. However, the word choice were not 'uncommon' to the extent of meriting flexibility and therefore does not constitute a 7. ",5+,5,7-,6-,6,"The student's got a good range of lexis and shows flexibility. 
There are uncommon word choices that fit the style. 
It's higher than adequate, which takes them out of the 6 range, though not wide enough/with enough accuracy to move them into 8. They fit the 7 descriptors more. ",Prefer not to say,30-39,Master's degree,,Cambridge Delta,,11-20,"Former IELTS writing examiner,IELTS Examiner Trainer",,3-5,English ,Arabic,Test takers with a variety of L1s but  a narrow range of proficiency levels,FL_147|FL_146|FL_144,Text4,Text13,Text28
1552,4,4,5,5,4.5,Much of the content is tangential or irrelevant.,5+,6,7,6,6.5,"Repetition of rubric limits score to a 7.  ""Will families"" ?",6+,9,9,8,7.6,Wider range of vocab to deal with rubric: impoverished/poor.  A one-sided argument though.,Male,50-59,Master's degree,,Cambridge Delta,,20+,"Former IELTS writing examiner,Former IELTS speaking examiner",,11-20,English,Arabic/Korean/Turkish,Test takers with a variety of L1s and a range of proficiency levels,FL_146|FL_147|FL_144,Text9,Text14,Text21
2565,5,5,5,4,4.7,"poor use of collocation and noticeable use of memorized phrases, but enough use of language to minimally fit the task at hand- actually would rate -5
to corroborate this claim, not to generalize, comparatively young, safeguard for the future - seem memorized
are prepared - for is missing
a lot of use of  'good' 'thing' - does not use enough less common vocabulary unless it's memorized.",7,7,7,6+,7.1,"used to have
in the table
family love life
in everytime vs. all the time
time to discovered
the sense  of

most was grammar",8+,9,9,8,8.1,"in the weekends - systematical
e.g. once correct then eg twice
issues with possession, but that is more grammatical - parents', worlds,  ",Female,30-39,Master's degree,,Cambridge CELTA,,6-10,Current IELTS speaking examiner,,3-5,English,a variety of Indian languages and Arabic,Test takers with a variety of L1s and a range of proficiency levels,FL_147|FL_146|FL_144,Text8,Text11,Text27
297,6+,6,7,5,6,,7+,7+,7+,7,7.6,,9-,9-,9,9,9.1,,Female,40-49,Bachelor's degree,,Cambridge Delta,,11-20,"Former IELTS writing examiner,Former IELTS speaking examiner",,6-10,English,Arabic before,Test takers with a variety of L1s and a range of proficiency levels,FL_144|FL_146|FL_147,Text7,Text20,Text26
1138,5+,5,6,5+,5.5,"I noticed high level vocabulary (on the CEFR scale), such as: pocket money, suspect (for speculation), subsequently, ""in my case"", tribe, journalist.  These are used fairly accurately.  But the writer lacked more specific vocabulary to get a higher band: ""entrance to the bank"" (for job), ""my age is late"".  ",7+,7+,8,7,8.1,"Very specific and high level usage: ""blinded by the power of money"", obstacle, ""the art of money making"", embrace, ""set their mind"", possess... not all accurate, so this is why it's not a band 9.  ",9-,9-,9,8,9.1,"Very high level vocabulary, mostly accurate: prematurely exposed, brought up, sacrificing luxuries for essential items, accompany, tend to, impoverished, etc.  ",Male,40-49,Master's degree,,Cambridge CELTA,,11-20,"Former IELTS writing examiner,Current IELTS speaking examiner",,3-5,English,Arabic,Test takers with mostly the same L1 but a range of proficiency levels,FL_144|FL_146|FL_147,Text6,Text15,Text22
4405,5+,5+,6+,5+,5.6," - A risk taker. Candidate uses less common lexical items with some awareness of style and collocation e.g. ""desired effect"", ""acquired money"" ""work independently"" ""fairly young""
 - but many errors in  word formation. Lots of errors with collocations ("" by another countries"", "" accept the money by their parents"", etc)   and phrasal verbs. This  impedes communication to some extent as it requires effort from the reader 
e.g. "" they could their money buy something or  entrance to the bank"" 
 - spelling generally good

",7+,7+,8-,7-,7.6,"""uses a wide range of vocabulary fluently and flexibly to
convey precise meanings “blinded by the power of money”
• skilfully uses uncommon lexical items  in every paragraph e.g. “scrutinized” , “paramount” , ""perseverence""
•  spelling generally very good - produces rare errors in and very good word formation on the whole
Generally candidate weaker with grammar . The lexical range is much stronger (8) even though there were some errors with collocations e..g raised in” instead of “raised with”, but this does not adversely affect understanding. The candidate is a “risk – taker”, so should be given some credit.
",8+,8-,9+,8+,9.1,"  - uses a wide range of vocabulary and indeed consistently uses more sophisticated   C2 level vocabulary  
; e.g. ""impoverished "", ""inconceivably"", ""ingenuity"" ""perseverance"", ""subsistence"", pre-eminent"", etc
 - varied use of uncommon phrasal verbs, collocations 
e.g. ""robbed of  their childhood ""  "" prematurely exposed to predicaments of"" 
 - sustained accuracy in spelling


",Male,50-59,Master's degree,,Other,,20+,"Former IELTS writing examiner,Former IELTS speaking examiner",,11-20,English,Arabic,Test takers with a variety of L1s and a range of proficiency levels,FL_146|FL_147|FL_144,Text3,Text19,Text30
1014,4+,5-,5,5,5,"In terms of design I would have the text at the top of each slide cause it's annoying to keep clicking back to see it. I'm tempted to just go on memory rather than examine the specific words...

pocket money 
perfectly prepared
see situtations
wealthy parents (granted it's in the prompt)",7,7-,7,7,7.1,"well-trained to
better prepared to deal with 
on the contrary 
(there are more but i'm starting to get fatigued going back and forth)",9,8+,8+,8+,8.6,prematurely exposed,Male,30-39,Master's degree,,"Cambridge CELTA,Cambridge Delta",,11-20,"Former IELTS writing examiner,Former IELTS speaking examiner",,1-2,English,Multilingual,Test takers with a variety of L1s and a range of proficiency levels,FL_144|FL_146|FL_147,Text2,Text11,Text33
